cat,change,change_persent,high,low,ltp,open,sn,trade,trade_code,value,volume,ycp
A,0.70,2.22%,32.50,31.50,32.50,31.70,89,90,TRUSTBANK,2.190,"68,313",31.80
A,0.80,2.20%,37.40,36.60,37.20,36.90,90,87,UTTARAFIN,1.512,"41,009",36.40
B,0.30,2.11%,14.70,14.20,14.50,14.40,91,318,FUWANGFOOD,8.460,"584,587",14.20
B,0.30,2.05%,15.50,14.20,14.90,14.30,92,"3,040",MAKSONSPIN,265.498,"17,864,125",14.60
A,0.50,2.04%,25.30,24.10,25.00,24.60,93,326,ESQUIRENIT,9.621,"389,533",24.50
A,0.20,2.02%,10.20,9.70,10.10,9.80,94,255,FEKDIL,8.964,"894,253",9.90
A,4.50,2.02%,233.00,223.30,227.50,229.80,95,"1,112",RAHIMAFOOD,34.147,"150,154",223.00
B,0.20,1.90%,11.00,10.30,10.70,10.50,96,304,FUWANGCER,7.473,"703,471",10.50
A,0.10,1.89%,5.70,5.30,5.40,5.60,97,578,FBFIF,24.282,"4,456,545",5.30
A,0.30,1.86%,16.60,16.20,16.40,16.20,98,192,SILVAPHL,6.166,"376,823",16.10
A,0.10,1.85%,5.50,5.30,5.50,5.40,99,"1,150",RINGSHINE,25.317,"4,704,240",5.40
B,0.30,1.82%,17.00,16.30,16.80,16.60,100,69,BENGALWTL,1.688,"101,319",16.50
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
